district_name,block_name,gp_name,village_name,village_code,village_latitude,village_longitude,total_hhd,TOT_P,TOT_M,TOT_F,P_SC,P_ST,P_LIT,P_ILL,TOT_WORK_P,MAINWORK_P,MARGWORK_P,total_hhd_having_piped_water_connection,total_no_of_community_toilets_constructed,availability_of_phc,availability_of_chc,distance_of_phc,distance_of_chc,total_no_of_schools_primary_sections,total_no_of_schools_middle_sections,availability_of_high_school,availability_of_ssc_school,is_village_connected_to_all_weather_road,distance_of_all_weather_road,availability_of_internal_pucca_road,availablility_hours_of_domestic_electricity,is_broadband_available,no_of_shgs_under_nrlm,total_hhd_mobilized_into_shg,total_no_of_shg_promoted,total_shg_members_engaged_in_income_generation_activities,availability_of_cottage_small_scale_units,total_hhd_engaged_cottage_small_scale_units,piped_water_pct,toilet_per_100hh,sanitation_deficit_raw,sanitation_deficit,has_health_fac,min_health_distance,health_deficit_raw,health_deficit,total_schools,schools_per_1000,education_deficit_raw,education_deficit,service_deficit_index,road_deficit_raw,road_deficit,digital_deficit_raw,digital_deficit,electricity_deficit_raw,electricity_deficit
CHAMPAWAT,BARAKOT,KOTHERA,Kothera,54157,29.459656,80.062009,125,371,185,186,98,0,255,116,276,128,148,125,0,2,2,4,4,0,0,1,2,1,0,1,3,2,0,0,0,0,2,0,100,0,0,0,1,4,0.45,0.75,3,8.086253369,0.997978437,0.997978437,0.599393531,0,1,-1,0,0.5,0.5
CHAMPAWAT,BARAKOT,LIDU,Simela,54221,29.48292,80.016637,38,135,66,69,0,0,87,48,61,6,55,6,0,2,2,5,5,1,0,2,2,2,2,3,4,2,2,10,0,0,2,0,15.78947368,0,0.842105263,0.842105263,1,5,0.6,1,5,37.03703704,0.990740741,0.990740741,0.949853801,-0.44,0.153846154,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,LIDU,Maulani,54222,29.475981,79.996019,38,156,84,72,0,0,93,63,86,9,77,0,0,2,2,5,5,0,0,2,2,2,2,3,4,2,3,15,0,0,2,0,0,0,1,1,1,5,0.6,1,4,25.64102564,0.993589744,0.993589744,0.998076923,-0.44,0.153846154,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,LIDU,Lidu,54225,29.490518,80.022227,43,197,95,102,0,0,137,60,136,85,51,0,0,2,2,5,5,0,0,2,2,1,0,3,4,2,3,15,0,0,2,0,0,0,1,1,1,5,0.6,1,4,20.30456853,0.994923858,0.994923858,0.998477157,0,1,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,MALLA BAPARU,Malla Bapru,54195,29.470397,80.078074,144,645,281,364,128,0,430,215,185,151,34,0,0,2,2,5,5,0,0,2,1,1,0,3,3,2,12,60,2,2,2,0,0,0,1,1,1,5,0.6,1,3,4.651162791,0.998837209,0.998837209,0.999651163,0,1,-1,0,0.5,0.5
CHAMPAWAT,BARAKOT,MALLA BAPARU,Bayoli,54199,29.470188,80.077916,5,19,8,11,0,0,13,6,7,5,2,0,0,2,2,5,5,0,0,2,2,1,0,3,3,2,1,1,0,0,2,0,0,0,1,1,1,5,0.6,1,4,210.5263158,0.947368421,0.947368421,0.984210526,0,1,-1,0,0.5,0.5
CHAMPAWAT,BARAKOT,MAU,Mau,54228,29.428657,80.168745,155,639,330,309,224,0,457,182,363,352,11,155,2,2,2,4,5,1,1,1,1,2,5,3,4,2,0,20,0,0,2,0,100,1.290322581,0,0,1,4,0.45,0.75,4,6.259780908,0.998435055,0.998435055,0.599530516,-0.2,0.615384615,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,MIRTOLI,Mirtoli,54159,29.470037,80.077698,81,303,161,142,14,0,191,112,172,67,105,0,2,2,2,3,3,1,0,2,2,2,4,3,2,1,25,20,0,0,2,0,0,2.469135802,1,1,1,3,0.3,0.5,5,16.50165017,0.995874587,0.995874587,0.798762376,-0.28,0.461538462,0,1,0.75,0.75
CHAMPAWAT,BARAKOT,NADERA,Pathalati,54156,29.485274,80.01454,22,63,35,28,0,0,47,16,19,19,0,0,1,2,2,5,5,0,0,2,2,1,0,3,3,2,1,5,0,0,2,0,0,4.545454545,1,1,1,5,0.6,1,4,63.49206349,0.984126984,0.984126984,0.995238095,0,1,-1,0,0.5,0.5
CHAMPAWAT,BARAKOT,NADERA,Bhandar,54165,29.485274,80.01454,25,100,51,49,10,0,58,42,33,19,14,0,0,2,2,5,5,0,0,2,2,2,5,3,4,2,1,5,0,0,2,0,0,0,1,1,1,5,0.6,1,4,40,0.99,0.99,0.997,-0.2,0.615384615,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,NADERA,Nadera,54167,29.485274,80.01454,108,449,231,218,16,0,350,99,124,123,1,23,1,2,2,5,5,0,0,2,1,2,5,3,4,2,3,15,0,0,2,0,21.2962963,0.925925926,0.787037037,0.787037037,1,5,0.6,1,3,6.681514477,0.998329621,0.998329621,0.935609998,-0.2,0.615384615,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,NADERA,Bagola,54169,29.485274,80.01454,5,14,10,4,14,0,8,6,7,7,0,0,0,2,2,5,5,0,0,2,2,2,5,3,4,2,0,0,0,0,2,0,0,0,1,1,1,5,0.6,1,4,285.7142857,0.928571429,0.928571429,0.978571429,-0.2,0.615384615,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,PAMDA,Mayua,54162,29.460861,80.062278,30,154,79,75,120,0,95,59,35,35,0,12,0,1,2,0,5,0,0,2,2,2,4,3,4,2,0,0,0,0,2,0,40,0,0.6,0.6,1,5,0.6,1,4,25.97402597,0.993506494,0.993506494,0.878051948,-0.28,0.461538462,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,PAMDA,Pamda,54178,29.457438,80.064406,133,454,213,241,139,0,290,164,181,42,139,55,0,1,2,0,5,1,1,2,2,2,2,3,4,2,17,118,3,1,2,0,41.35338346,0,0.586466165,0.586466165,1,5,0.6,1,6,13.21585903,0.996696035,0.996696035,0.87494866,-0.44,0.153846154,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,PARADO SERA,Padasawn,54151,29.467515,80.074271,109,0,0,0,0,0,0,0,0,0,0,31,1,2,2,5,5,1,0,1,2,2,5,3,4,2,2,10,0,0,2,0,28.44036697,0.917431193,0.71559633,0.71559633,1,5,0.6,1,4,0,1,1,0.914678899,-0.2,0.615384615,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,PUNYAL,Puniyal,54229,29.470187,80.077915,78,273,112,161,11,0,135,138,97,97,0,78,0,2,2,5,5,1,1,2,2,2,4,3,3,1,7,43,0,0,2,0,100,0,0,0,1,5,0.6,1,6,21.97802198,0.994505495,0.994505495,0.698351648,-0.28,0.461538462,0,1,0.5,0.5
CHAMPAWAT,BARAKOT,RAI DHARI,Buraula,54128,29.508606,80.019432,28,142,83,59,56,0,87,55,48,47,1,0,0,2,2,5,5,0,0,2,2,2,5,2,3,2,0,0,0,0,2,0,0,0,1,1,1,5,0.6,1,4,28.16901408,0.992957746,0.992957746,0.997887324,-0.2,0.615384615,-1,0,0.5,0.5
CHAMPAWAT,BARAKOT,RAI DHARI,Choolgaon,54130,29.474413,79.994271,52,279,142,137,43,0,214,65,68,64,4,0,0,2,2,5,5,1,1,1,2,2,5,2,3,2,1,0,0,5,2,0,0,0,1,1,1,5,0.6,1,5,17.92114695,0.995519713,0.995519713,0.998655914,-0.2,0.615384615,-1,0,0.5,0.5
CHAMPAWAT,BARAKOT,RAI DHARI,Raighari,54134,29.533365,79.957915,68,405,211,194,0,0,298,107,101,101,0,0,0,2,2,5,5,1,1,2,2,2,5,3,3,2,3,0,0,15,2,0,0,0,1,1,1,5,0.6,1,6,14.81481481,0.996296296,0.996296296,0.998888889,-0.2,0.615384615,-1,0,0.5,0.5
CHAMPAWAT,BARAKOT,RAIGAON,Raighaon,54144,29.470033,80.077699,656,1257,619,638,288,0,757,500,546,192,354,247,0,2,2,5,5,2,0,2,2,1,0,3,4,2,19,96,19,0,2,0,37.65243902,0,0.62347561,0.62347561,1,5,0.6,1,6,4.77326969,0.998806683,0.998806683,0.886684688,0,1,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,RAWAL GAON,Ravalgaon,54133,29.447091,80.02367,40,181,91,90,0,0,129,52,91,32,59,0,1,2,2,3,2,1,0,2,2,1,0,1,4,1,5,25,0,0,2,0,0,2.5,1,1,1,2,0.15,0.25,5,27.62430939,0.993093923,0.993093923,0.697928177,0,1,0,1,0.25,0.25
CHAMPAWAT,BARAKOT,RAWAL GAON,Surkot,54143,29.471362,80.076044,32,115,59,56,51,0,79,36,45,22,23,7,0,2,2,3,3,0,0,2,2,1,0,2,4,1,0,0,0,0,2,0,21.875,0,0.78125,0.78125,1,3,0.3,0.5,4,34.7826087,0.991304348,0.991304348,0.731766304,0,1,0,1,0.25,0.25
CHAMPAWAT,BARAKOT,RAWAL GAON,Devli Maphi,54145,29.471469,80.076218,21,31,16,15,24,0,19,12,14,6,8,5,0,2,2,4,4,0,0,2,2,1,0,2,4,1,0,0,0,0,2,0,23.80952381,0,0.761904762,0.761904762,1,4,0.45,0.75,4,129.0322581,0.967741935,0.967741935,0.818894009,0,1,0,1,0.25,0.25
CHAMPAWAT,BARAKOT,SALAN,Salan,54209,29.432068,80.05288,35,165,90,75,0,0,102,63,99,24,75,30,0,2,2,5,5,1,0,2,2,2,3,2,4,2,0,0,0,0,2,0,85.71428571,0,0.142857143,0.142857143,1,5,0.6,1,5,30.3030303,0.992424242,0.992424242,0.740584416,-0.36,0.307692308,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,SALAN,Netra,54210,29.431507,80.053704,31,174,89,85,0,0,124,50,109,54,55,31,0,2,2,5,5,1,0,2,1,2,3,2,4,2,0,0,0,0,2,0,100,0,0,0,1,5,0.6,1,4,22.98850575,0.994252874,0.994252874,0.698275862,-0.36,0.307692308,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,SALAN,Gaika Jyula,54213,29.432306,80.054715,26,164,79,85,0,0,94,70,80,21,59,0,0,2,2,5,5,1,2,1,1,2,2,2,4,2,0,0,0,0,2,0,0,0,1,1,1,5,0.6,1,5,30.48780488,0.992378049,0.992378049,0.997713415,-0.44,0.153846154,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,SEEL,Bruyuri,54211,29.474028,79.993922,47,194,82,112,37,0,126,68,114,24,90,0,0,2,2,5,5,1,0,2,2,2,2,3,3,2,2,10,0,0,2,0,0,0,1,1,1,5,0.6,1,5,25.77319588,0.993556701,0.993556701,0.99806701,-0.44,0.153846154,-1,0,0.5,0.5
CHAMPAWAT,BARAKOT,SEEL,Sheel,54214,29.474028,79.993922,41,227,99,128,0,0,150,77,108,14,94,0,0,2,2,5,5,1,0,2,2,2,3,3,3,2,2,10,0,0,2,0,0,0,1,1,1,5,0.6,1,5,22.02643172,0.994493392,0.994493392,0.998348018,-0.36,0.307692308,-1,0,0.5,0.5
CHAMPAWAT,BARAKOT,SINGADA,Sigda,54160,29.470033,80.077697,225,772,413,359,40,0,537,235,243,173,70,220,1,2,2,5,5,2,1,2,2,1,0,3,1,2,6,36,0,0,2,0,97.77777778,0.444444444,0.022222222,0.022222222,1,5,0.6,1,7,9.067357513,0.997733161,0.997733161,0.705986615,0,1,-1,0,1,1
CHAMPAWAT,BARAKOT,SUNGAR KHAL,Sugar Khal,54129,29.474028,79.993922,100,555,267,288,0,0,341,214,151,149,2,36,0,2,2,5,5,2,1,2,2,2,5,3,4,2,3,15,0,0,2,0,36,0,0.64,0.64,1,5,0.6,1,7,12.61261261,0.996846847,0.996846847,0.891054054,-0.2,0.615384615,-1,0,0.25,0.25
